10700,@The_Nasty_P now you gotta do that with fast n furious,anger,0.354,@The_Nasty_P sekarang Anda harus melakukannya dengan cepat dan marah
10712,A wise man told me that holdin' a grudge is like\nLetting somebody just live inside of your head rent free,anger,0.354,Seorang pria bijak mengatakan kepada saya bahwa menyimpan 'dendam itu seperti \ Membiarkan seseorang hidup di dalam kepalamu tanpa biaya sewa
10713,Heading home to cut grass in the heat. All I wanna do is go out to eat somewhere air conditioned.  #AdultingIsTheWorst,anger,0.354,Menuju rumah untuk memotong rumput dalam cuaca panas. Yang ingin saya lakukan adalah pergi makan di tempat yang ber-AC. #AdultingIsTheWorst
10714,@BarackObama I love Lizzy Warren's latest rage against Wall Street.,anger,0.177,@BarackObama Saya suka kemarahan terbaru Lizzy Warren terhadap Wall Street.
10715,When you forget to mention you were bought dreamboys tickets 🙄😂 ,anger,0.354,Ketika Anda lupa menyebutkan bahwa Anda telah membeli tiket dreamboys 🙄😂
10716,Praying for the #Lord to keep #anger #hate #jealousy away from your heart is a sign of #maturity #conciseness,anger,0.354,Berdoa agar #Tuhan menjaga #anger #hate #jealousy jauh dari hatimu adalah tanda #maturity #conciseness
10717,My little sister sure can hold a grudge 😂😂😂,anger,0.33299999999999996,Adik perempuanku pasti bisa menyimpan dendam 😂😂😂
10718,"@ShieldsCap &lt; Steve between his feet, feeling a blush sting his cheeks. 'I can undress myself, thank you very much,' he snapped &gt;",anger,0.33299999999999996,"@ShieldsCap <Steve di antara kedua kakinya, merasakan rona merah di pipinya. 'Aku bisa membuka baju sendiri, terima kasih banyak,' bentaknya>"
10719,one of the main things im doing w/ 13c is filling in the void of my empty bitter heart by making everything how i wanted it to be growing up,anger,0.33299999999999996,salah satu hal utama yang saya lakukan w / 13c adalah mengisi kekosongan hati pahit saya yang kosong dengan membuat semua yang saya inginkan untuk tumbuh dewasa
10720,snap music kept me from running into traffic 2005-2007.,anger,0.33299999999999996,sekejap musik mencegah saya dari kemacetan 2005-2007.
10721,"When anger rises, think of the consequences. #quote #wisdom ",anger,0.33299999999999996,"Saat kemarahan meningkat, pikirkan konsekuensinya. #quote #wisdom"
10722,Never make a #decision when you're #angry and never make a #promise when you're #happy. #wisewords,anger,0.33299999999999996,Jangan pernah membuat #decision saat Anda #angry dan jangan pernah membuat #promise saat Anda #happy. #kata-kata bijak
10723,Keep in mind. We're all weak. Don't insult people just because they're human.,anger,0.33299999999999996,Mengingat. Kita semua lemah. Jangan menghina orang hanya karena mereka manusia.
10724,@TDsNation i watch all your videos but i like madden better!,anger,0.33299999999999996,@TDsNation saya menonton semua video Anda tetapi saya lebih suka gila!
10725,Projection is perception. See it in someone else? You also at some level have that within you.  #worry,anger,0.33299999999999996,Proyeksi adalah persepsi. Lihat di orang lain? Anda juga pada tingkat tertentu memilikinya di dalam diri Anda. #khawatir
10726,So Rangers v Celtic ll #revenge,anger,0.33299999999999996,Jadi Rangers v Celtic ll #revenge
10727,@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂,anger,0.33299999999999996,@hargytyler ehhh kurasa. Saya ingin semua orang yang pernah saya tertawa di depan😂
10728,@kateracculia @themathofyou It's true! I reverse-engineered the drink. It's a scientific method. I hear it's all the rage.,anger,0.33299999999999996,@kateracculia @themathofyou Itu benar! Saya merekayasa ulang minuman itu. Itu adalah metode ilmiah. Saya mendengar itu semua kemarahan.
10729,@KodieBurch yesss..apparently you've been popular on snap 🙄,anger,0.33299999999999996,@KodieBurch ys..sebelumnya kamu sudah populer di sekejap 🙄
10730,When a grown adult doesn't drink or has never drank before I just assume they were raised around a raging alcoholic and they want no parts.,anger,0.33299999999999996,"Ketika orang dewasa tidak minum atau tidak pernah minum sebelumnya, saya hanya berasumsi bahwa mereka dibesarkan di sekitar pecandu alkohol yang mengamuk dan mereka tidak menginginkan bagian."
10731,@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? ,anger,0.33299999999999996,@EAMaddenNFL @EASPORTS Saya memainkan permainan di mana John Elway dipecat 3x dan meraba-raba semua 3x. Apakah ini John elway yang sama yang saya kenal ???
10732,"#Zumba, #PiYo and #HIIT sessions. Sweaty, burning but sooooooo good! #missedoutonsummerbikinibodybutwintersunbodywilldo",anger,0.33299999999999996,"Sesi #Zumba, #PiYo dan #HIIT. Berkeringat, terbakar tapi sangat bagus! #missedoutonsummerbikinibodybutwintersunbodywilldo"
10733,@jamiesonhelen @MarianKeyes all three of my agin's on the pout .,anger,0.29600000000000004,@jamiesonhelen @MarianKeyes ketiga agin saya cemberut.
10734,Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday  #politeness,anger,0.33299999999999996,Kemarahan itu murah dan kesopanan itu mahal. Jangan berharap semua orang bersikap sopan. #ThoughtfulThursday #politeness
10735,don't give someone power by letting their words offend you,anger,0.33299999999999996,jangan beri seseorang kekuatan dengan membiarkan kata-katanya menyinggung perasaan Anda
10736,"Rt @yoelamite i need that one back, that whole cd was hard, the one with a #rage flew through, rhyme flow, n the 1 u speak on the dollar",anger,0.33299999999999996,"Rt @yoelamite saya butuh yang itu kembali, seluruh cd itu sulit, yang dengan #rage terbang melalui, aliran sajak, dan 1 Anda berbicara tentang dolar"
10737,Lot 100 would give Ghandi road rage,anger,0.33299999999999996,Lot 100 akan membuat jalan Ghandi marah
10738,@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,anger,0.33299999999999996,@StutteringGiant setidaknya karakternya dalam fast and furious memompa adrenalin ke dalam franchise. Tapi itu saja
10739,"How can I tell Happy Anniversary, when u are not happy..  #ampalaya #paitpaitanangpeg",anger,0.341,"Gimana caranya ucapkan selamat ulang tahun, bila kamu tidak senang .. #ampalaya #paitpaitanangpeg"
10740,I love when @pinksaltwarrior angry tweets bc it makes me laugh but also hate it bc it makes me miss her more,anger,0.33299999999999996,Saya suka ketika @pinksaltwarrior tweet marah karena itu membuat saya tertawa tetapi juga membencinya karena itu membuat saya semakin merindukannya
10741,when you find out the initiative isn't even a thing 😧 ,anger,0.312,ketika Anda mengetahui inisiatif bahkan bukan apa-apa 😧
10742,"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",anger,0.312,"Semua ini dari rokok yang terbakar di tangan Laura, sudut dagunya, lipatan bibirnya. '(104) Transisi yang indah! @Laurengrodstein"
10743,This all resent #India #Pakistan problem is save #NawazSharif\n@ImranKhanPTI\n@PTIofficial,anger,0.312,Ini semua membenci #India #Pakistan Masalah disimpan #NawazSharif \ n @ ImranKhanPTI \ n @ PTIofficial
10744,#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,anger,0.312,#Awareness seek #shelter. # Letgo Old #habit of chasing #desires menghasilkan #anger #fear #worry. # Pilih #Satisfaction dalam #Peace #Relax
10745,@RealJeffsdomain Wolfpack theme and trons and sting wore the wolf shirt,anger,0.312,Tema @RealJeffsdomain Wolfpack dan trons serta stingnya memakai kaos serigala
10746,"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",anger,0.172,"@MHChat kesedihan dengan kebencian adalah masa lalu, kesedihan dengan ketakutan adalah masa depan. coba hidup di #MHchat sekarang"
10747,Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday #anger #politeness,anger,0.312,Kemarahan itu murah dan kesopanan itu mahal. Jangan berharap semua orang bersikap sopan. #ThoughtfulThursday #anger #politeness
10748,@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,@JOjojosiejay atau dalam kasus saya sapi pemurung yang mengamuk lol mengapa saya membeli kaus kaki sapi yang murung lol
10749,I'm just doing what u should b doing just minding my business and grinding relentless @LITO615,anger,0.312,Saya hanya melakukan apa yang seharusnya Anda lakukan hanya memikirkan bisnis saya dan menggiling tanpa henti @ LITO615
10750,Holding a #grudge doesn't make you #strong; it makes you #bitter. #Forgiving doesn't make you #weak; it sets you #free.,anger,0.312,Menyimpan # dendam tidak membuat Anda # kuat; itu membuat Anda #bitter. #Maaf tidak membuat Anda # lemah; itu membuat Anda #gratis.
10751,@pianimadi regarde tes snap,anger,0.312,@pianimadi regarde tes snap
10752,Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,anger,0.33,Standard Candice memulai pertunjukan dengan cemberut #startasyoumeantogoon #GBBO
10753,"@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.",anger,0.312,"@Klipto si jingga itu #bitter dan #bitter. Anda tidak boleh menilai #blue dari tampilannya tetapi dari bagaimana rasanya, #delicious."
10754,Who got madden 17 or 2k17 ps4 add TrackdawgT lets run it,anger,0.312,Siapa yang marah 17 atau 2k17 ps4 tambahkan TrackdawgT mari kita jalankan
10755,I wish the next madden has a story mode too. Just like Fifa 17 #madden,anger,0.312,Saya berharap orang gila berikutnya memiliki mode cerita juga. Sama seperti Fifa 17 #madden
10756,@MetsProspectHub @brianpmangan taking offense to acount...he ranks 32 of 36 over last 2 years by SABR,anger,0.312,@MetsProspectHub @brianpmangan tersinggung ... peringkat 32 dari 36 selama 2 tahun terakhir oleh SABR
10757,@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour,anger,0.312,@justinbieber Terima kasih Justin untuk konser yang luar biasa ini. Aku tidak percaya hanya kamu yang bisa memancing ribuan senyum ini malam ini # BelieveTour
10758,@The_Boxing_Hub #klitschko @Klitschko over fury any day #boxing,anger,0.312,@The_Bing_Hub #klitschko @klitschko karena marah setiap hari #boxing
10759,The best revenge is massive success.,anger,0.312,Balas dendam terbaik adalah sukses besar.
10760,"Tiangong 1, China's first space laboratory, will come to a fiery end in late 2017. The average decommissioned satellite either burns ...",anger,0.312,"Tiangong 1, laboratorium luar angkasa pertama China, akan berakhir dengan api pada akhir 2017. Satelit yang dinonaktifkan rata-rata membakar ..."
10761,Houston might lose a coach tomorrow or by midnight. #yikes ?,anger,0.312,Houston mungkin kehilangan pelatih besok atau tengah malam. #yikes?
10762,"Well, the lines for Sweden's goals sure sting.",anger,0.312,"Nah, garis untuk tujuan Swedia pasti menyengat."
10763,Don't get #bitter get #BETTER,anger,0.312,Jangan #bitter dapatkan #BETTER
10764,Don't be bitter,anger,0.292,Jangan pahit
10765,Went n a bodega 4 incense lookd @ the sis behind the counter &amp; it was like a mirror she said where u from I said here she said no originally,anger,0.185,Pergi n a bodega 4 dupa lookd @ sis di belakang meja & itu seperti cermin katanya dari mana kamu berasal Saya bilang di sini dia bilang tidak awalnya
10766,Recommended reading: Prisoners of Hate by Aaron Beck ,anger,0.292,Bacaan yang direkomendasikan: Prisoners of Hate oleh Aaron Beck
10767,@CharlotteBnntt that's the joke. I know it's incense,anger,0.222,@CharlotteBnntt itu leluconnya. Saya tahu itu dupa
10768,Leveled at the half. Much better offense expected in the second half,anger,0.182,Diratakan setengah. Pelanggaran yang jauh lebih baik diharapkan di babak kedua
10769,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. ,anger,0.292,@ sueblue35 @ nsoz7 @immortalbulldog ya? Kami memiliki pelatih sprint? Kami tim paling lambat di kompetisi. Bicara tentang merampok mata pencaharian.
10770,#firsttweetever sippin #hotchocolate wondering #why I finally gave in &lt;3 haha #hellloooootwitter - ...its because #facebookisforfamily ,anger,0.292,#firsttweetever sippin #hotchocolate heran #Why akhirnya saya menyerah <3 haha ​​#hellloooootwitter - ... itu karena #facebookisforfamily
10771,One of my favorite classic cars is the Plymouth fiery.,anger,0.292,Salah satu mobil klasik favorit saya adalah Plymouth berapi-api.
10772,"As your own lives in order to complete our amazing life journey successfully, it is there. ",anger,0.35700000000000004,"Sebagai kehidupan Anda sendiri untuk menyelesaikan perjalanan hidup kita yang luar biasa dengan sukses, itu ada di sana."
10773,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat,anger,0.292,"Kik saya, saya ingin menukar foto yang akan saya posting di akun saya secara anonim jika Anda menginginkan Kik: vsvplou #Kik #kikme #snap #nudes #tits #snapchat"
10774,Focus on yourself. Don't let other's love define you when you're happy and don't let it make you bitter if you get hurt.,anger,0.292,Fokus pada diri sendiri. Jangan biarkan cinta orang lain menentukanmu saat kamu bahagia dan jangan biarkan itu membuatmu getir jika kamu terluka.
10775,I wish the next madden has a story mode too. Just like Fifa 17 ,anger,0.292,Saya berharap orang gila berikutnya memiliki mode cerita juga. Sama seperti Fifa 17
10776,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -,anger,0.304,@ImpugnValkyrie * Aku mengerutkan kening dan menangkup pipimu di tanganku setelah kamu minggir. * Angela Aku peduli padamu. Dan saya tidak tahu bagaimana lagi saya bisa -
10777,😳The intensity that @sydneyswans play at is extraordinary #relentless #AFLCatsSwans #AFLFinals 🏉👏🏿,anger,0.292,😳 Intensitas yang dimainkan @sydneyswans luar biasa #relentless #AFLCatsSwans #AFLFinals 🏉👏🏿
10778,Need a new outlet for ,anger,0.292,Butuh outlet baru untuk
10779,I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,Saya perlu 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @ lexiereid369 dan 👊🏼Rockys date🍕
10780,@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles ❤️,anger,0.271,@ leener00 @ libbyfloyd1 @G_Eazy snap saya adalah andriaprebles ❤️
10781,Colors of the leaves are- changing.  Heatwaves in LA still- raging.  Lattes made in batches. Visit pumpkin patches. #FallSongs,anger,0.271,Warna daunnya berubah-ubah. Gelombang panas di LA masih berkecamuk. Latte dibuat secara bertahap. Kunjungi tambalan labu. #FallSongs
10782,@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley,anger,0.271,@shopgreenwich # ldf16 apa yang harus kita lakukan akhir pekan ini? #spraypainting di #greenwichmarket dengan @ SNUB23 # core246 #lilylou #fret & #benoakley
10783,"It takes a man to suffer ignorance and smile. Be yourself, no matter what they say. ",anger,0.271,"Dibutuhkan seorang pria untuk menderita ketidaktahuan dan senyum. Jadilah dirimu sendiri, tak peduli apa yang orang katakan."
10784,"@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless",anger,0.271,"@FrizzeyesJr meeee, saya lvl 320 dan saya tidak punya satu pun tanpa henti"
10785,@_Inferno217_ @PaladinsGame ummm that dragons fury though..,anger,0.271,@ _Inferno217_ @PaladinsGame ummm naga itu mengamuk ..
10786,@NessaMatthews he's perfect. But not even in that way where you sort of resent him or suspect that he leads a double life. Just perfect.,anger,0.271,@NessaBerita dia sempurna. Tetapi bahkan tidak dengan cara seperti itu di mana Anda semacam membencinya atau curiga bahwa dia menjalani kehidupan ganda. Sempurna.
10787,@jetmissTee I thought I peeped him on your snap. That's the homie ✊🏽 lol,anger,0.271,@ JetmissTee Saya pikir saya mengintip dia di snap Anda. Itu homie ✊🏽 lol
10788,@pbump @AndyRichter  My heart goes out to that woman for the indignity of what she is sitting through.,anger,0.271,@pbump @AndyRichter Hatiku tertuju pada wanita itu karena penghinaan atas apa yang dia alami.
10789,You can't fight the elephants until you have wrestled the pigs. #quoteoftheday #relentless,anger,0.271,Anda tidak dapat melawan gajah sampai Anda berhasil melawan babi. #quoteoftheday #relentless
10790,@serendipity127_ @zombiecalorie @Angel_Eyes66 I'm sensing a theme here tho lol ,anger,0.271,@ serendipity127_ @zombiecalorie @ Angel_Eyes66 Saya merasakan tema di sini tho lol
10791,ESPN just assumed I wanted their free magazines ,anger,0.271,ESPN hanya berasumsi bahwa saya menginginkan majalah gratis mereka
10792,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work #snap",anger,0.271,"Jika keberuntungan saya di sisa musim gugur berjalan seperti hari ini, saya pikir saya akan menyukai musim ini. #bestdayever #magic #work #snap"
10793,These #NewEnglandPatriots jerseys look like some whack ones that you tried to make when you made custom jerseys on #madden  04,anger,0.271,Jersey #NewEnglandPatriots ini terlihat seperti jersey keren yang coba kamu buat saat membuat custom jersey di #madden 04
10794,@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.,anger,0.271,@DMAXYoseph @TheClany Tidak ada dendam. Hanya kebenaran dalam kelimpahan.
10795,"@Lesdoggg take me with you!! JK. Have fun, relax, get a massage or two and chill. Don't eat the cucumbers, most places frown on that.",anger,0.271,"@Lesdoggg bawa aku bersamamu !! JK. Bersenang-senang, santai, pijat atau dua kali dan dinginkan. Jangan makan mentimun, kebanyakan tidak suka itu."
10796,630am meeting Olympic House #10golds24 .  #neverquit #believe #dreambig #TeamTTO #going4gold,anger,0.271,630 pertemuan Olympic House # 10golds24. #neverquit #percaya #dreambig #TeamTTO # going4gold
10797,Houston might lose a coach tomorrow or by midnight.  #yikes #offense?,anger,0.271,Houston mungkin kehilangan pelatih besok atau tengah malam. #yikes #offense?
10798,It's easy to hold a grudge harder to let go.,anger,0.295,Sangat mudah untuk menyimpan dendam lebih sulit untuk dilepaskan.
10799,Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte  #against #machines,anger,0.18899999999999997,Doa & Perlindungan untuk saudara dan saudari kita yang berjuang di #Charlotte #against #machines
