10800,testing ,anger,0.25,pengujian
10825,"@ezlisteningdisc it doesn't offend me but it's just,,, Weird.",anger,0.188,"@ezlisteningdisc itu tidak menyinggung perasaan saya tapi itu hanya ,,, Aneh."
10826,Drop Snapchat names #bored  #swap #pics,anger,0.188,Jatuhkan nama Snapchat #bored #swap #pics
10827,Follow me on Snapchat 👻 Carlabtst15 #snapchat ,anger,0.188,Ikuti saya di Snapchat 👻 Carlabtst15 #snapchat
10828,"I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection",anger,0.188,"Saya suka ketika #girls sibuk mengajar cara #cemberut sambil mengambil #selfie di mal, desikasi mereka sangat besar #women love #perfection"
10829,follow my girl tiff she only got 3 followers💖💘💖💘💘 @00tiffanyr,anger,0.188,ikuti tiff gadis saya dia hanya mendapat 3 pengikut💖💘💖💘💘 @ 00tiffanyr
10830,@Ms_HeartAttack peanut butter takes away the sting,anger,0.188,@Ms_HeartAttack selai kacang menghilangkan sengatannya
10831,hate to see y'all frown but I'd rather see him smiling 💕✨,anger,0.188,benci melihat kalian cemberut tapi aku lebih suka melihatnya tersenyum 💕✨
10832,@JaredLeto Jared + #snap? 💘,anger,0.188,@JaredLeto Jared + #snap? 💘
10833,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme  #nudes #tits #snapchat,anger,0.188,"Kik saya, saya ingin menukar foto yang akan saya posting di akun saya secara anonim jika Anda menginginkan Kik: vsvplou #Kik #kikme #nudes #tits #snapchat"
10834,ordered my vacation bathing suits. one less thing to fret about.,anger,0.188,memesan pakaian renang liburan saya. satu hal yang perlu dikhawatirkan.
10835,Cheap pout my brodcast,anger,0.23199999999999998,Murah mencibir siaran saya
10836,Ughhh love a clean house and my incense lit aromatherapy,anger,0.26,Ughhh suka rumah bersih dan aromaterapi dupa saya menyala
10837,Follow me on Snapchat 👻 Carlabtst15 #snapchat #snap,anger,0.16699999999999998,Ikuti saya di Snapchat 👻 Carlabtst15 #snapchat #snap
10838,Vale! Vale! Sip sangria and taste tantalizing tapas @ElCidLA  's fiery flamenco nights! #MinutesFromHoM #SilverLake #LA #Flamenco,anger,0.16699999999999998,Lembah! Lembah! Cicipi sangria dan cicipi tapas yang menggiurkan di malam flamenco berapi-api @ElCidLA! #MinutesFromHoM #SilverLake #LA #Flamenco
10839,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",anger,0.16699999999999998,"Berterima kasih untuk semua orang yang kelaparan dalam hidup saya! Lapar untuk belajar, berubah, tumbuh, membantu, dll - tidak yakin ada yang lebih baik! #henti-hentinya"
10840,Love the new song I can't stop thinking about you by #sting.,anger,0.16699999999999998,"Suka lagu baru, aku tidak bisa berhenti memikirkanmu dengan #sting."
10841,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. ",anger,0.16699999999999998,"@thomeagle Hanya untuk membantu mempertahankan dan meningkatkan status kami sebagai pusat pendidikan, budaya, dan toleransi kelas dunia."
10842,"@savageimiike one of my favorite songs brother, real talk. ",anger,0.157,"@savageimiike salah satu lagu favorit saya saudara, pembicaraan nyata."
10843,one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome ,anger,0.14300000000000002,satu bulan sampai ulang tahun seseorang dan saya pikir sudah waktunya untuk memamerkan bahwa saya memberi mereka sesuatu yang sangat mengagumkan
10844,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,anger,0.146,@ Aurena1701 @AngOrgard dia tidak menyengat saya untungnya. Dia terbang bahagia dan mabuk. Lolololol
10845,"Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HER😩",anger,0.146,"Ellie baru saja memberiku banyak hadiah dengan catatan di atasnya untuk uni n aku menangis, I LOVE HER😩"
10846,@EagleGiles23 @tgilmore_92 what I miss? ,anger,0.146,@ EagleGiles23 @ tgilmore_92 apa yang saya lewatkan?
10847,@Callidissima @ahouseingotham wrath of khan is one of the best movies of all time,anger,0.146,@Callidissima @ahouseingotham murka khan adalah salah satu film terbaik sepanjang masa
10848,I'm girly in the sense that I always have lashes &amp; nails done but tomboy in the sense that black is my only color &amp; refuse the ruffle life,anger,0.146,Saya feminin dalam arti bahwa saya selalu memiliki bulu mata & kuku tetapi tomboi dalam arti bahwa hitam adalah satu-satunya warna saya & menolak kehidupan acak-acakan
10849,Follow up. Follow through. Be #relentless. #success,anger,0.125,Mengikuti. Melaksanakan. Jadilah # tanpa henti. #keberhasilan
10850,@cburt43 turn that frown upside down,anger,0.125,@ cburt43 putar balik cemberut itu
10851,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 ,anger,0.125,"@Corningball, HARI PERTANDINGAN !!!! T MINUS 14.30"
10852,rose incense are the best thing I've ever bought,anger,0.125,dupa mawar adalah hal terbaik yang pernah saya beli
10853,@jaaames1993 Literally burst out laughing.,anger,0.067,@ jaaames1993 Benar-benar tertawa terbahak-bahak.
10854,Follow up. Follow through. Be . #success,anger,0.125,Mengikuti. Melaksanakan. Jadilah. #keberhasilan
10855,Wrinkles should merely hide where frown have been.  - Mark Twain,anger,0.125,Kerutan seharusnya hanya bersembunyi di tempat kerutan berada. - Mark Twain
10856,Love the new song I can't stop thinking about you by .,anger,0.083,Aku suka lagu baru yang tidak bisa berhenti memikirkanmu.
