10100,Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759,Kenakan kaus kaki pop-up dan mereka TERUS JATUH DI DALAM SEPATU SAYA # kemarahan
10128,"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger,0.688,"@ggreenwald Smh, singkirkan pendirian yang secara ideologis bangkrut dan oportunistik sekarang. Mereka membakar semua jembatan dan kontrak sosial. #marah"
10129,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,@brendancoots di mana kemarahan Anda bahwa partai Anda menominasikan orang yang berbohong dan korup? Dan menerima sumbangan dari negara-negara yang mendukung teror
10130,@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger,0.688,@ edquinn63 bagaimana Anda bisa lupa mengangkat wajah anak Anda dari sekolah #offended
10131,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road #rage,anger,0.688,Saya sangat marah pada orang yang tidak tahu bahwa Anda tidak memiliki tanda berhenti pada Francis dan Anda melakukannya di Foster #road #rage
10132,@soyoprincess they irritate me. Them and their inch thick made up masks,anger,0.667,@soyoprincess mereka mengganggu saya. Mereka dan topeng-topeng setebal inci mereka
10133,@ChurdAllan fucked my coupon that goal! ,anger,0.667,@ChurdAllan mengacaukan kupon saya tujuan itu!
10134,How was Natalie one of the top three favorites?! #toofaced and #bitter 🙄,anger,0.667,Bagaimana Natalie menjadi salah satu dari tiga favorit teratas ?! #toofaced and #bitter 🙄
10135,@dcexaminer Democrats and their voters have zero tolerance for honesty. They associate honesty with anger and hate.,anger,0.667,@dcexaminer Demokrat dan para pemilihnya sama sekali tidak menoleransi kejujuran. Mereka mengasosiasikan kejujuran dengan amarah dan kebencian.
10136,@gerfingerpoken #rage?? The #CrookedCourt said #rage MANY times to explain away the brutal killings of #Petits by #Hayes &amp; #Komisarjevsky,anger,0.667,@geringerpoken #age ?? #CrookedCourt mengatakan #rage BANYAK kali untuk menjelaskan pembunuhan brutal #Petits oleh #Hayes & #Komisarjevsky
10137,"To'Why can't we brothers protect one another? No one's serious, and it makes me furious. Don't be misled, just think of Fred.' #mayfield",anger,0.578,"To'Why kita tidak bisa saling melindungi satu sama lain? Tidak ada yang serius, dan itu membuatku geram. Jangan disesatkan, pikirkan saja Fred. ' #mayfield"
10138,..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 !!!!,anger,0.667,..... bangun dan berkata 'sudahkah kamu mencoba mengganti popoknya?' 😡👊🏼 !!!!
10139,@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing  #noloyalty #joke #notimpressed,anger,0.667,@ManUtd yang Anda dapatkan dari saya selama bertahun-tahun tidak relevan. Ini lelucon mutlak. #manutd #ticketing #noloyalty #joke #notimpressed
10140,All hell is breaking loose in Charlotte. #CharlotteProtest #anger #looting,anger,0.667,Semua kacau balau di Charlotte. #CharlotteProtest #anger #looting
10141,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,0.667,"Ada pria Bpharm4, Eish, pria yang membawa amarah ke dalam hidupku. Ketika saya melihatnya nje seperti kegelapan memenuhi saya @RamatsobaneM akan tahu"
10142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the BOILING SUN AGAIN,anger,0.667,Saya memiliki satu jam latihan sepak bola di bawah terik matahari dan sekarang saya memiliki 2 jam latihan bola voli di bawah matahari yang mendidih lagi
10143,testing #angry,anger,0.667,menguji #angry
10144,@WatcherDev @WarcraftDevs put so much artefact points into fury and cant raid... literally wasted 1 month of my life! Thanks blizzard,anger,0.667,@WatcherDev @WarcraftDevs memasukkan begitu banyak poin artefak ke dalam kemarahan dan serangan tidak bisa ... benar-benar menyia-nyiakan 1 bulan hidup saya! Terima kasih badai salju
10145,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. #furious,anger,0.833,Bagaimana cara kerjanya jika Anda melakukan itu? Sobat? Terima kasih sudah membuatku kesal. #geram
10146,i was angry.,anger,0.667,aku marah.
10147,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,0.667,Rasanya ketika Anda melakukan perjalanan 700 mil untuk mengambil formulir yang tiba di pos dua hari setelah Anda pergi. #asap
10148,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,anger,0.667,"@cineworld 'Selamat Gratis 1 bulan Anda telah diaktifkan' Kemudian biaya £ 34,80 di bulan yang sama. Sangat marah 😡"
10149,@tmz @HarveyLevinTMZ   Hell hath no fury like a women scorned.    It's the affair.  Not the parenting,anger,0.667,@tmz @HarveyLevinTMZ Neraka tidak memiliki amarah seperti wanita yang dicemooh. Ini perselingkuhannya. Bukan parenting
10150,straight people are canoodling on the quad and I'm #offended,anger,0.648,orang straight canoodling di quad dan saya #offended
10151,"I can definitely feel my irritation today, lord give me strength",anger,0.667,"Saya pasti bisa merasakan kejengkelan saya hari ini, tuan beri saya kekuatan"
10152,@RobertTaitWHU against Chelsea anything is possible haha. I'm fuming about that bet 🙄🙄🙄🙄🙄🙄,anger,0.6459999999999999,@RobertTaitWHU melawan Chelsea semuanya mungkin terjadi haha. Saya marah tentang taruhan itu 🙄🙄🙄🙄🙄🙄
10153,When you break a record in #madden I wish it didn't say the same shit after every rush like you just broke the record. #shutupphilsimms,anger,0.812,"Ketika Anda memecahkan rekor di #madden, saya berharap itu tidak mengatakan hal yang sama setelah setiap kesibukan seperti Anda baru saja memecahkan rekor. #shutupphilsimms"
10154,@DFSCare apparently you are to contact me. Sofas were meant to be delivered today. Old ones gone. Sitting on floor. No sofas! #fuming,anger,0.6459999999999999,@DFSCare rupanya Anda harus menghubungi saya. Sofa dimaksudkan untuk dikirim hari ini. Yang lama hilang. Duduk di lantai. Tidak ada sofa! #fuming
10155,I have 1000 rabid grizzly bears I'm going to scatter in neighborhoods all over America.\n\nThey're poor refugees!\n\n#InYourNeighborhoodNotDC,anger,0.6459999999999999,Saya memiliki 1000 beruang grizzly rabies yang akan saya sebarkan di lingkungan di seluruh Amerika. \ N \ nMereka pengungsi yang malang! \ N \ n # InYourNe NeighborhoodNotDC
10156,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,anger,0.6459999999999999,@oreillyfactor kenapa tidak #blm # preman mau #justice padahal hitam di hitam #gang kejahatan? Mereka hanya #rage dan menangis #racism saat #cop
10157,@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,@mandyjohnson Saya akan jujur ​​.. Saya harap Southern bint yang menyebalkan dengan cibiran 'lihat saya' keluar minggu ini! Selasi #FTW
10158,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,anger,0.6459999999999999,Tidak ada bantuan dari layanan pelanggan @ups. Hanya mendorong uang bolak-balik dan panggilan balik yang menjanjikan itu tidak akan terjadi. #kebencian
10159,"@mdivincenzo9 he's stupid, I hate him lol #bitter",anger,0.6459999999999999,"@ mdivincenzo9 dia bodoh, aku benci dia lol #bitter"
10160,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,anger,0.6459999999999999,@Tokopedia Putuskan internet kita lebih awal 'karena kesalahan' dan kemudian jangan aktifkan kembali saat kita tidak lagi membutuhkan insinyur 😡
10161,"@Slippus @PureGym  yeah I received a fine today which I am furious about, currently appealing it after being a member for so long...",anger,0.6459999999999999,"@Slippus @PureGym ya saya menerima denda hari ini yang membuat saya marah, saat ini menariknya setelah menjadi anggota begitu lama ..."
10162,People irritate me 🙄,anger,0.6459999999999999,Orang-orang membuat saya kesal 🙄
10163,Men in rage strike those that wish them best. #rage #emotions #negative #positive #wish #strike #martial #arts #control #believe #best #hope,anger,0.6459999999999999,Pria yang marah menyerang mereka yang menginginkan yang terbaik. #rage #emotions #negative #positive #wish #strike #mihak #art #control #percaya #best #harapan
10164,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep ",anger,0.6459999999999999,"Di tahun 2016, orang kulit hitam MASIH berjuang untuk diakui sebagai manusia. #cantsleep"
10165,I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger,0.6459999999999999,"Aku bersumpah jika @ devincameron23 memblokirku, aku akan memukul punggungnya #revenge"
10166,@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 #fuming,anger,0.6459999999999999,@Tokopedia Putuskan internet kita lebih awal 'karena kesalahan' dan kemudian jangan aktifkan kembali saat kita tidak lagi membutuhkan seorang insinyur 😡 #fuming
10167,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the #outrage,anger,0.6459999999999999,@RealBD_ @ReyesAverie 47 orang kulit hitam tak bersenjata dibunuh oleh polisi kulit putih pada tahun 2015. Banyak yang meninggal setiap bulan di Chicago di mana #outrage
10168,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. ",anger,0.6459999999999999,"@bt_uk mengapa pelacakan menunjukkan peralatan saya terkirim, padahal tidak? Mengapa layanan saya tiba-tiba tertunda? Kami sudah 3 minggu."
10169,Does she really need to pout all the time - getting on my nerves #GBBO,anger,0.6459999999999999,Apakah dia benar-benar perlu meluangkan waktu - membuatku kesal #GBBO
10170,Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,0.6459999999999999,Pernah mengepalkan tangan melalui layar laptop Anda? Jika demikian waktunya untuk yang baru lmao #rage #anger #hp
10171,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger,0.6459999999999999,@ snowangel415 @ cjwalters66 Mungkin juga diserang oleh fans fanatik Tom yang selalu sempurna & pakaiannya membuat saya menjauh darinya ...
10172,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",anger,0.6459999999999999,"Para pemain kakak masa depan yang terhormat, kejar saja kontol sepanjang musim dan Anda juga bisa memenangkan 500,00 dolar dan Sti # bb18 #bitter"
10173,"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger,0.556,@VanDashNessa @ taotao_salupa5 Tidak ada seorang pun di jalan itu yang membakar dan menjarah serta menakut-nakuti warga tak berdosa di sana.
10174,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger,0.6459999999999999,@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳
10175,Forgot to eat dinner and now I'm furious with everything and everyone,anger,0.6459999999999999,Lupa makan malam dan sekarang saya marah dengan segalanya dan semua orang
10176,the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger,0.6459999999999999,gadis yang duduk di depanku mengunyah permen karetnya seperti sapi & aku siap untuk snap 🤗
10177,"@sebbyD27850 both are nonsensical. If there's injustice against blacks, why add to it by destroying black property. It's misdirected anger",anger,0.69,"@ sebbyD27850 keduanya tidak masuk akal. Jika ada ketidakadilan terhadap orang kulit hitam, mengapa menambahkannya dengan menghancurkan properti hitam. Itu kemarahan yang salah arah"
10178,Can someone make me a priority list of which things I should be outraged at + in which order?  #racism #animalrights #abortion #cops,anger,0.6459999999999999,Dapatkah seseorang menjadikan saya daftar prioritas tentang hal-hal apa yang harus membuat saya marah + dalam urutan apa? #rasik #hak hewan #aborsi # polisi
10179,@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines  #con!,anger,0.6459999999999999,"@Sukasukaa_sukasuka @sukasuka_suka_sukaaaa !! Tagihan saya adalah £ 44,77 dan ada SMS dari Anda untuk membuktikannya dan Anda telah mengambil £ 148 !!!!! #swines #con!"
10180,You a fuck boy if you run drag routes back to back in madden,anger,0.6459999999999999,Anda anak brengsek jika Anda menjalankan rute tarik kembali ke belakang di gila
10181,I got fever highs\nI got boiling blood,anger,0.6459999999999999,Saya demam tinggi \ nSaya kena darah mendidih
10182,@canada4trumpnow @donlemon he has BAD TEMPERAMENT #tantrums #HissyFits,anger,0.6459999999999999,@ canada4trumpnow @donlemon dia punya TEMPERAMEN BURUK #tantrums #HissyFits
10183,I can't even right now #bb18 #rage,anger,0.6459999999999999,Saya bahkan tidak bisa sekarang # bb18 #rage
10184,"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.47200000000000003,"@Daniel_Sankey @ hayleyp79 Haha .... Sebenarnya, setelah Doggies saya barracking untuk Siapapun Tapi GWS! #pahit"
10185,Why are people that don't have iPhones so bitter about iPhones???? Can someone explain,anger,0.625,Mengapa orang yang tidak memiliki iPhone begitu pahit tentang iPhone ???? Adakah yang bisa menjelaskan
10186,@RonMexico760 The guy who calls people 'cuck' and is anti-BLM is offended by idea that he might not be pro-policing reform? That's amazing.,anger,0.625,@ RonMexico760 Orang yang menyebut orang 'cuck' dan anti-BLM tersinggung oleh gagasan bahwa dia mungkin tidak mendukung reformasi kepolisian? Itu luar biasa.
10187,@deshbhakthoon always unhappy and easily offended.,anger,0.531,@deshbhakthoon selalu tidak senang dan mudah tersinggung.
10188,"@SusanHensThe shameful display I watched today has left me reeling with so much anger dt I feel like exploding, those clowns should watch it",anger,0.625,"Tampilan memalukan yang saya tonton hari ini telah membuat saya terguncang dengan begitu banyak amarah sampai saya merasa ingin meledak, para badut itu harus menontonnya"
10189,All hell is breaking loose in Charlotte. #CharlotteProtest  #looting,anger,0.625,Semua kacau balau di Charlotte. #CharlotteProtest #looting
10190,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA  #oldcunt,anger,0.625,Ketika Anda masih memiliki seluruh musim Wentworth untuk ditonton dan seorang gadis bodoh di tempat kerja menghancurkannya untuk kami 😭😭 @__KirstyGA #oldcunt
10191,Half of Epicenter is shut down its police all over y'all I just burst out in tears this is fucking terrible #KeithLamontScott,anger,0.625,"Setengah dari Epicenter dimatikan polisi di sekujur tubuh kalian, saya baru saja menangis, ini sangat mengerikan #KeithLamontScott"
10192,Not giving a fuck is better than revenge.,anger,0.625,Tidak peduli lebih baik dari balas dendam.
10193,@winksahoy we about to get shit on by the wrath of winter out of nowhere,anger,0.625,@winksahoy kita akan mengamuk karena kemurkaan musim dingin entah dari mana
10194,@GrxjicTank WHY though! Why did u want to offend Americans?,anger,0.625,@GrxjicTank MENGAPA! Mengapa Anda ingin menyinggung perasaan orang Amerika?
10195,@RealBD_ @ReyesAverie 47 unarmed blacks killed by white cops in 2015. That many die every month in Chicago wheres the ,anger,0.625,@RealBD_ @ReyesAverie 47 orang kulit hitam tak bersenjata dibunuh oleh polisi kulit putih pada tahun 2015. Banyak yang meninggal setiap bulan di Chicago di mana
10196,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625,@CI Saya tidak berpikir Monalisa menghormati siapa pun kecuali dirinya sendiri! Saya pikir dia akan mengacak-acak beberapa bulu. #Penjara
10197,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address  #poorcustomerservice,anger,0.625,@DPD_UK Saya meminta paket saya untuk dikirim ke toko penjemputan bukan alamat saya #poorcustomerservice
10198,Thought the Xbox one s madden bundle would come with a physical copy of madden not a code😴 it's gonna take fucking forever to download lol,anger,0.625,Kupikir bundel gila Xbox akan datang dengan salinan fisik gila bukan kode😴 itu akan memakan waktu lama untuk mengunduh lol
10199,@canada4trumpnow @donlemon he has BAD TEMPERAMENT  #HissyFits,anger,0.625,@ canada4trumpnow @donlemon dia punya TEMPERAMEN BURUK #HissyFits
