10600,@marthalyssa yep. LOL #bitter,anger,0.41700000000000004,@sukasukaa_suka_suka_suka_suka_suka_suka_suka_suka_suka_uka_suka_suka_suka. LOL #pahit
10662,We worship at Your feet\nWhere wrath and mercy meet\nAnd a guilty world is washed\nBy love's pure stream\n—Graham Kendrick,anger,0.375,Kami menyembah di kaki-Mu \ Di mana murka dan belas kasihan bertemu \ nDan dunia yang bersalah dibasuh \ Oleh aliran murni cinta \ n — Graham Kendrick
10663,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 ",anger,0.37,"Para pemain kakak masa depan yang terhormat, kejar saja kontol sepanjang musim dan Anda juga bisa memenangkan 500,00 dolar dan Sti # bb18"
10664,"“He who is slow to anger is better than the mighty, And he who rules his spirit than he who takes a city.”\nP16:32 #bibleverse #pride #anger",anger,0.314,"“Dia yang lambat marah lebih baik dari pada yang perkasa, Dan dia yang mengatur jiwanya daripada dia yang mengambil kota.” \ NP16: 32 #bibleverse #pride #anger"
10665,"Holding a grudge on someone will stop your blessings from God ,learn to forgive &amp; forget 🙏🏾",anger,0.375,"Menyimpan dendam pada seseorang akan menghentikan berkah dari Tuhan, belajar memaafkan & melupakan 🙏🏾"
10666,Why does Candice constantly pout #GBBO 💄😒,anger,0.375,Mengapa Candice terus-menerus mencibir #GBBO 💄😒
10667,"@pugglelover3691 some of those haters are just taught hate and not shown love. There is a good quote that goes to your comment tiff, treat",anger,0.375,@ pugglelover3691 beberapa dari mereka yang membenci hanya diajarkan kebencian dan tidak ditunjukkan cinta. Ada kutipan bagus yang masuk ke komentar Anda
10668,Nor hell a fury like a woman scorned -- William Congreve,anger,0.375,Tidak juga kemarahan seperti wanita yang dicemooh - William Congreve
10669,That is at least the 3rd time the balls been burst in our games,anger,0.375,Setidaknya itu adalah kali ketiga bola meledak di game kami
10670,@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂,anger,0.375,@ stoozyboy1 @ chrisutton73 😂😂 Oh si zombie marah 😂
10671,Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines,anger,0.375,Doa & Perlindungan untuk saudara dan saudari kita yang berjuang di #Charlotte #rage #against #machines
10672,@wcsportscamp I lol'ed.  Privileged exasperation should be bottled and sold.,anger,0.375,@wsportscamp saya lol'ed. Kekesalan karena hak istimewa harus disimpan dalam botol dan dijual.
10673,Finally made my #fury #warrior guide. Let me know your thoughts,anger,0.375,Akhirnya membuat panduan #fury #warrior saya. beri tau aku isi pikiranmu
10674,@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! ,anger,0.375,@evanareteos :)) saya tidak menulis tentang perubahan wajah industri seks di tr :))) sekarang pria akan berbicara dengan saya!
10675,@JustPyroNow are you gonna do any kind of community raids when wrath of the machine drops?,anger,0.375,"@JustPyroNow, apakah Anda akan melakukan penggerebekan komunitas apa pun saat murka mesin turun?"
10676,"Nurse practitioner: 'you look pretty bad. No offense of course.'  \n\nThank you, that really added that spark of positivity I needed today.",anger,0.444,"Praktisi perawat: 'Anda terlihat sangat buruk. Tentu saja jangan tersinggung. ' \ in \ Terima kasih, itu benar-benar menambahkan percikan kepositifan yang saya butuhkan hari ini."
10677,@dlrwills turn that frown upside down buddy 🙃.,anger,0.375,@dlrwills membalikkan cemberut itu sobat 🙃.
10678,"@SonOfTheDovah *She could sense the anger stirring within him and took his hand in hers.* As long as we stay together, we'll both be safe.--",anger,0.375,"@SonOfTheDovah * Dia bisa merasakan amarah yang menggelora di dalam dirinya dan memegang tangannya. * Selama kita tetap bersama, kita berdua akan aman .--"
10679,and apparently he's supposed to have a Scottish accent??? I'm ,anger,0.375,dan tampaknya dia memiliki aksen Skotlandia ??? Saya m
10680,"@PerfectQuartz She's jogging a bit to stay beside her, puffing her cheeks with a huff each time. 'Oh-- jeez Jasper, why don't you —",anger,0.375,"@PerfectQuartz Dia jogging sebentar untuk tetap di sampingnya, menggembungkan pipinya dengan gusar setiap kali. 'Oh - ya ampun Jasper, kenapa kamu tidak -"
10681,"@RichardHBell Yes, I think he held a grudge ...",anger,0.375,"@RichardHBell Ya, saya pikir dia menyimpan dendam ..."
10682, I can't guess if you holding a grudge against the best',anger,0.425,Saya tidak bisa menebak jika Anda menyimpan dendam terhadap yang terbaik '
10683,@JoeGoodmanJr. A solution. But the assumptions by media in articles and every other venue causes animosity to the conversation.,anger,0.354,@Cantik_bugil. Sebuah solusi. Tetapi asumsi media dalam artikel dan setiap tempat lainnya menyebabkan permusuhan dalam percakapan.
10684,@LisaAsquithtobe @craig8710 @WayneHaselden @june65wigan everyone is against wigan because we are the biggest club ,anger,0.354,@LisaAsquithtobe @ craig8710 @WayneHaselden @ june65wigan semua orang menentang wigan karena kami adalah klub terbesar
10685,"@lyskoi anyway, I found a short scale today that was perfect for my purposes. soft on the hands, won't aggravate my (now-chronic) tendonitis",anger,0.354,"@lyskoi bagaimanapun, saya menemukan skala pendek hari ini yang sempurna untuk tujuan saya. lembut di tangan, tidak akan memperburuk tendonitis saya (sekarang kronis)"
10686,GAMEDAY VS BUFORD TODAY AT 5:30 AT HOME!!!!!!!!! NEVER BEEN SO EXCITED #revenge,anger,0.354,GAME VS BUFORD HARI INI PUKUL 5:30 DI RUMAH !!!!!!!!! TIDAK PERNAH SANGAT MENYENANGKAN #revenge
10687,Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya #revenge #bwahaha,anger,0.2,Episode #DragRace # AllStars2 malam ini BERIKAN KEHIDUPAN SAYA! Ratu Yaassss! #teamalaska #teamkatya #revenge #bwahaha
10688,@Kim_is__bored exactly what I have been saying on fb.. ,anger,0.354,@Kim_is__bored persis apa yang telah saya katakan di fb ..
10689,my wasp sting is so itchy,anger,0.35600000000000004,sengatan tawon saya sangat gatal
10690,"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)",anger,0.322,"- Pria berambut mendekat dan melihat Mayor menjauh darinya, reaksi menarik geraman dari tenggorokannya. - (@DocHQuinzel)"
10691,srry my feelings offend u 🤗,anger,0.354,maaf perasaanku menyinggung perasaanmu 🤗
10692,Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,anger,0.354,Maaf untuk memecahkan gelembung Anda tetapi ini bukan abad itu lagi. Selamat datang di abad ke-21.
10693,I can't even right now #bb18 ,anger,0.354,Saya bahkan tidak bisa sekarang # bb18
10694,Asian Tiger #Mosquitoes are so relentless. More aggressive than the kind I dealt w/as a kid.,anger,0.354,# Nyamuk Macan Asia sangat tak kenal lelah. Lebih agresif daripada jenis yang saya hadapi / sebagai anak-anak.
10695,Sometimes the best motivations come from 'proving them wrong' #energy #relentless #MotivationalQuotes,anger,0.354,Terkadang motivasi terbaik datang dari 'membuktikan bahwa mereka salah' #energy #relentless #MotivationalQuotes
10696,@LonelyGoomba I wouldn't bring this up if I were you. It's a very touchy subject. And people get way to offended these days,anger,0.32799999999999996,@LonelyGoomba Saya tidak akan membahas ini jika saya jadi Anda. Ini topik yang sangat sensitif. Dan orang-orang tersinggung akhir-akhir ini
10697,"Are you lost in the fury, fearing that you'll fail?",anger,0.354,"Apakah Anda tersesat dalam amarah, takut gagal?"
10698,I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 #tiff,anger,0.354,Saya perlu 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @ lexiereid369 dan 👊🏼Rockys date🍕 #tiff
10699,my alarm clock was ringing this morning n my flatmate knocked on my door and asked if i set anything on fire or if i'm burning alive :) :):),anger,0.354,Jam alarm saya berdering pagi ini dan teman saya mengetuk pintu dan bertanya apakah saya membakar sesuatu atau saya terbakar hidup-hidup :) :) :)
