20600,"Anytime @perezed gets near a mic, someone needs to smack him w a bat. @BBTN #awful #marblesinmouth",fear,0.479,"Kapan pun @perezed mendekati mikrofon, seseorang harus memukulnya. @BBTN #full #lelawanbiru"
20619,An @amityaffliction kind of drive home from work today  #dailyfeels,fear,0.45799999999999996,Semacam @amityaffliction perjalanan pulang dari kerja hari ini #dailyfeels
20620,"@David_Stepp Any other election, fine vote 3rd party as useless as it is but not this one. I hesitate to say it'd be selfish but...",fear,0.45799999999999996,"@David_Stepp Pemilihan lainnya, pilih pihak ketiga yang tidak berguna tetapi tidak yang ini. Saya ragu untuk mengatakan itu egois tapi ..."
20621,"@bryony_gordon Sat waiting for bus today enveloped in a strawberry scented damp and revolting cloud of vape. I moved away, disgusting, urghh",fear,0.45799999999999996,"@bryony_gordon Duduk menunggu bus hari ini diselimuti oleh awan vape yang lembab dan menjijikkan beraroma stroberi. Aku pindah, menjijikkan, urghh"
20622,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc,fear,0.45799999999999996,Bagaimana Anda bisa menyalahkan manajer yang menyaksikan para pemain ini bermain? Ini sangat buruk. Tim kami sangat buruk. Jika Jose tidak bisa menyelamatkan kita. Tidak ada yang bisa. #mufc
20623,broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,fear,0.45799999999999996,broken policy '#blasio <> #trump #giuliani' broken windows 'semua bagian dari' pecking order '#bully politic #america RESIST #motto
20624,petrify  me in the fossil type of way,fear,0.45799999999999996,membatu saya dengan cara seperti fosil
20625,"Texans played horrible.  Bad play calling, bad protection of the ball, bad coaching, bad defense, bad overall performance. #Texans #horrible",fear,0.45799999999999996,"Orang Texas bermain buruk. Panggilan permainan yang buruk, perlindungan bola yang buruk, pelatihan yang buruk, pertahanan yang buruk, kinerja keseluruhan yang buruk. #Texans # Mengerikan"
20626,"@troyesivan I'm eating sushi, I'm shaking for you",fear,0.45799999999999996,"@troyesivan Saya sedang makan sushi, saya gemetar untuk Anda"
20627,"@Taniel @LOLGOP That'll be gosh darn terrific if they only check the brown people. Shucks, let's make a law to say only brown people.",fear,0.45799999999999996,"@Taniel @LOLGOP Itu akan sangat luar biasa jika mereka hanya memeriksa orang-orang berkulit coklat. Sial, mari kita buat hukum yang mengatakan hanya orang berkulit coklat."
20628,@JonnyDunn93 and Gerrard was awful then,fear,0.45799999999999996,@ JonnyDunn93 dan Gerrard sangat buruk saat itu
20629,"@DiscordianKitty He has charisma? I guess, if you like people who looked coked out and speak as if they're a school bully?",fear,0.45799999999999996,"@DiscordianKitty Dia memiliki karisma? Saya kira, apakah Anda menyukai orang-orang yang terlihat seperti kokas dan berbicara seolah-olah mereka adalah pengganggu sekolah?"
20630,@caeruleusV @Atheist_Penguin @misogynaut I threaten you because I can pussy,fear,0.45799999999999996,@caeruleusV @Atheist_Penguin @misogynaut Saya mengancam Anda karena saya bisa memek
20631,"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney",fear,0.45799999999999996,"@DSDambuster baru saja memulai #homefronttherevolution, apa yang kalian lakukan pada cerita dan gameplay ??? #terrible #wasteofmoney"
20632,@BrandedByCas I was like that when I started college. It was horrific but it probably will get better. Don't give up yet,fear,0.45799999999999996,@BrandedByCas Saya seperti itu ketika saya mulai kuliah. Mengerikan tapi mungkin akan membaik. Jangan menyerah dulu
20633,"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is ",fear,0.45799999999999996,"Yesus menangis! RNS lain dari #rusty @metaltigerplc mengutip 'Berita sensitif harga, berita Sensitif Harga' dll. #Ramping di sini adalah"
20634,"@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",fear,0.45799999999999996,"@ynnsanity Mungkin itu sebabnya, kami diminta untuk giat belajar dan mendapatkan pekerjaan yang kami sukai. Dengan cara itu tidak akan terlalu mengerikan."
20635,Just #terrible from the cats there. Wow. #AFLCatsSwans,fear,0.45799999999999996,Hanya # mengerikan dari kucing-kucing di sana. Wow. #AFLCatsSwans
20636,@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,fear,0.45799999999999996,@VectoneMobileUK Layanan pelanggan terburuk dan kurangnya profesionalisme dari penyedia layanan ini! #phoneprovider #bisnis
20637,@JTregManc it's fair to say he's been a bit timid compared to what I've been known to see from him,fear,0.45799999999999996,@JTregManc adil untuk mengatakan bahwa dia sedikit pemalu dibandingkan dengan apa yang selama ini saya lihat darinya
20638,@BBs_Coffee somebody needs tell staff at Reading cappuccino is supposed to have a thick layer of foam and coffee should be hot #awful again,fear,0.45799999999999996,@BBs_Coffee seseorang perlu memberi tahu staf di Reading cappuccino seharusnya memiliki lapisan busa yang tebal dan kopi harus panas #awful lagi
20639,@andrewspoooner wouldn't cross the street to piss on its server if it was on dire,fear,0.45799999999999996,@andrewspoooner tidak akan menyeberang jalan untuk kencing di servernya jika itu mengerikan
20640,"When I walk in darkness of despondency, Sc.verses I've memorized shine a light in my heart. Ex: Lam 3:22-25 ",fear,0.45799999999999996,"Ketika saya berjalan dalam kegelapan putus asa, ayat-ayat Sc. Yang saya ingat bersinar terang di hati saya. Contoh: Rat 3: 22-25"
20641,someone come to fright world w me🤗🤗,fear,0.45799999999999996,seseorang datang ke dunia yang menakutkan bersamaku🤗🤗
20642,she gone make me wanna start that new shit today 😂😭,fear,0.45799999999999996,dia pergi membuatku ingin memulai omong kosong baru hari ini 😂😭
20643,Wish I was a kid again. The only stressful part was whether Gabriella and Troy would get back together or not. #hsm2 ,fear,0.45799999999999996,Seandainya aku masih kecil lagi. Satu-satunya bagian yang membuat stres adalah apakah Gabriella dan Troy akan kembali bersama atau tidak. # hsm2
20644,@mcdermo11 @rogerc32 u gave Laura so much constructive criticism she blocked u 'Lazy Give Up Now No Hope Retire' same with Heather ,fear,0.45799999999999996,@ mcdermo11 @ rogerc32 Anda memberi Laura begitu banyak kritik yang membangun sehingga dia memblokir Anda 'Malas Menyerah Sekarang Tidak Ada Harapan Pensiun' sama dengan Heather
20645,@metrotrains why is there no disabled access at pontefract monkhill? #terrible,fear,0.45799999999999996,@metrotrains mengapa tidak ada akses dinonaktifkan di pontefract monkhill? #mengerikan
20646,"@ZaidZamanHamid Speech is still not up to the mark. No mention of 'Genocide', Indian terrorism in Pak. It was all planned speech.",fear,0.45799999999999996,"@ZaidZamanHamid Pidato masih belum sesuai sasaran. Tidak disebutkan 'Genosida', terorisme India di Pak. Itu semua pidato yang direncanakan."
20647,@quiettcricket can you maybe break it down into smaller bits? or space it out so it doesnt seem to daunting?,fear,0.45799999999999996,@quiettcricket dapatkah Anda memecahnya menjadi bit-bit yang lebih kecil? atau beri jarak agar tidak menakutkan?
20648,@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,fear,0.45799999999999996,"@mas_critical Ironisnya, mereka yang memprotes hal-hal semacam ini adalah mimpi buruk Orwellian yang mereka pikir mereka lawan."
20649,☊Focusing primarily on the person you’re talking to rather than yourself and the impression you’re making lessens social anxiety.,fear,0.45799999999999996,"☊ Berfokus terutama pada orang yang Anda ajak bicara, bukan diri Anda sendiri, dan kesan yang Anda buat mengurangi kecemasan sosial."
20650,@aidankerrpol I think you should do. Get the fashion police involved. #shocking,fear,0.45799999999999996,@aidankerrpol Saya pikir Anda harus melakukannya. Libatkan polisi mode. #shocking
20651,@OC_Transpo some weeks there are no problems but this week is unbelievable -- are you guys even running regular 12 buses? #awful #solate,fear,0.456,@OC_Transpo beberapa minggu tidak ada masalah tetapi minggu ini luar biasa - apakah kalian bahkan menjalankan 12 bus reguler? #awful #solate
20652,@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',fear,0.455,"@PatBlanchfield jadi maksud Anda ""seperti Uber tetapi untuk keputusasaan bagi orang lain selain pengemudi '"
20653,The 'banter' from Craigen and Sutton on BT is fucking horrid,fear,0.45399999999999996,The 'olok-olok' dari Craigen dan Sutton di BT benar-benar mengerikan
20654,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered  #badservice,fear,0.45299999999999996,Masih menunggu untuk melihat apakah @ london2012track saya akan muncul minggu depan - dua bulan hari ini telah dipesan #badservice
20655,if anyone spoils any of my fucking shows I will haunt you in the afterlife so help me god,fear,0.451,"jika ada yang merusak salah satu acara sialan saya, saya akan menghantui Anda di akhirat jadi bantu saya tuhan"
20656,Thank god the feds did not raise rates. Assume they are nervous about a world where 990 is the new employee  form  &amp; the safety net is zilch,fear,0.45,"Syukurlah, FBI tidak menaikkan tarif. Asumsikan mereka gelisah tentang dunia di mana 990 adalah bentuk karyawan baru & jaring pengamannya nihil"
20657,@JasonBHampton it's Bowers. I went and drove it for a while this evening #horrible,fear,0.447,@JasonBHampton itu Bowers. Aku pergi dan mengendarainya sebentar malam ini # mengerikan
20658,You sure have a lot to say about something that doesn't even concern you 😉,fear,0.44,Anda pasti memiliki banyak hal untuk dikatakan tentang sesuatu yang bahkan bukan urusan Anda 😉
20659,I have another test tonight ,fear,0.43799999999999994,Saya ada tes lagi malam ini
20660,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.",fear,0.43799999999999994,"@aroseblush Halo! \ nSemakin besar si penindas, makin banyak buaya air mata. Penindas selalu bertindak seperti korban yang tersinggung."
20661,@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software #terrible,fear,0.43799999999999994,@Avanquest Saya telah berhenti berlangganan 3 kali dari email spam Anda masih datang? HENTIKAN EMAIL #avanquest #software #terrible
20662,The #500thTest match would have be a T20 or an ODI if @virendersehwag @B_McCullum42 been in their National Colors #nightmare #hitter  @BCCI,fear,0.43799999999999994,Pertandingan # 500thTest akan menjadi T20 atau ODI jika @virendersehwag @ B_McCullum42 berada dalam Warna Nasional #nightmare #hitter @BCCI
20663,i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,fear,0.43799999999999994,Saya baru saja membicarakannya minggu lalu .. bagaimana penampilan luar Anda (misalnya rambut gimbal) memengaruhi kemampuan Anda untuk bekerja?
20664,Tomorrow is the day I cut and dye my hair! 😳  #excited,fear,0.43799999999999994,Besok adalah hari aku memotong dan mewarnai rambutku! 😳 #excited
20665,No @Chrishilly1987 for MOS 😡  #shocking Leads from the front 💪🏻,fear,0.43799999999999994,No @ Chrishilly1987 untuk MOS 😡 #shocking Memimpin dari depan 💪🏻
20666,"Romero, Rojo, Blind, Memphis, Rooney. This is nearly a starting line up I’d wanna punch in the face rather than shake their hand.",fear,0.43799999999999994,"Romero, Rojo, Buta, Memphis, Rooney. Ini hampir menjadi garis awal yang ingin saya pukul di wajah daripada menjabat tangan mereka."
20667,nadia bully me and ill expose you,fear,0.43799999999999994,nadia menggertak saya dan mengekspos Anda
20668,Who likes #werewolves and #horror and #surfing? Because BREAKER over on @readstela has all that and MORE.,fear,0.43799999999999994,Siapa yang suka #werewolves dan #horror dan #surfing? Karena BREAKER pada @readstela memiliki semua itu dan LEBIH BANYAK.
20669,"@JedRivett @CharlesCassidy_  Jus see if you ever do anything you pussy , u don't scare me look who u chill with 😂😂😂",fear,0.43799999999999994,"@JedRivett @CharlesCassidy_ Jus lihat apakah Anda pernah melakukan apa pun yang Anda pus, Anda tidak menakut-nakuti saya, lihat siapa yang Anda dinginkan 😂😂😂"
20670,"@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any  #sexism",fear,0.43799999999999994,"@Policy_Exchange Poin plus, dia tidak perlu mengantri untuk loos. Ada lagi poin plus? Tidak, tidak bisa memikirkan #seksisme apa pun"
20671,I am in #shock and #awe and the places my #toddler manages to get his dinner.,fear,0.43799999999999994,Saya berada di #shock dan #awe dan tempat #toddler saya berhasil mendapatkan makan malamnya.
20672,This week's Massacre Theatre pert by @LarsenOnFilm is the first one I can think of that requires subtitles. #breathless,fear,0.43799999999999994,Massacre Theater pertolongan oleh @LarsenOnFilm minggu ini adalah yang pertama yang terpikir oleh saya yang membutuhkan subtitle. #sesak nafas
20673,@deodevine6 i can't bully you and niall impossible😙,fear,0.43799999999999994,@ deodevine6 saya tidak bisa menggertak Anda dan niall tidak mungkin😙
20674,@BlairWitchMovie love new movie\n #BlairWitch #blairwitchproject  #HorrorMovies,fear,0.43799999999999994,@BlairWitchMovie suka film baru \ n #BlairWitch #blairwitchproject #HorrorMovies
20675,"We, #Indians, can hold our heads up high and stay unafraid. The #UNGA is well-informed about #Pakistan's #terrorism business and deception.",fear,0.43799999999999994,"Kami, #Indians, dapat mengangkat kepala dan tetap tidak takut. #UNGA sangat mengetahui tentang # bisnis terorisme # Pakistan dan penipuan."
20676,An absolutely dire first half and I can't recall a shot on target. \n\nAgainst Accrington Stanley.,fear,0.43799999999999994,Babak pertama benar-benar mengerikan dan saya tidak ingat satu tembakan tepat sasaran. \ n \ nMelawan Accrington Stanley.
20677,@leeuwlion 'The furries are restless tonight'.,fear,0.43799999999999994,@leeuwlion 'Bulu-bulu itu gelisah malam ini'.
20678,@safety @Support \nHi 🌷\nWhy do you always suspend ISIS hunters\n \n👉@snafy2019\n\nKindly please reinstate our members\n*He fights terrorism d/n,fear,0.43799999999999994,@safety @Support \ nHai 🌷 \ nMengapa Anda selalu menangguhkan pemburu ISIS \ n \ n👉 @ snafy2019 \ n \ nMohon kembalikan anggota kami \ n * Dia memerangi terorisme d / n
20679,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, #awful! #GOPATS",fear,0.43799999999999994,"@Max_Kellerman itu juga membantu bahwa sebagian besar pembinaan NFL tidak kompeten. Beberapa panggilan bermain Bill O'Brien adalah wow, #awful! #GOPATS"
20680,It's really alarming when an adult male calls their father 'daddy',fear,0.43799999999999994,Benar-benar mengkhawatirkan ketika seorang pria dewasa memanggil ayah mereka 'ayah'
20681,a #monster is only a #monster if you view him through ,fear,0.43799999999999994,#monster hanya #monster jika Anda melihatnya melalui
20682,@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,fear,0.43799999999999994,@MidgetTamer @RAIDERS @ 52Mack_ Jadikan dia pengganggu. Dudukkan dia di kamar sendirian dan biarkan dia melihat Debo sepanjang hari.
20683,@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software ,fear,0.43799999999999994,@Avanquest Saya telah berhenti berlangganan 3 kali dari email spam Anda masih datang? HENTIKAN EMAIL #avanquest #software
20684,Hey no turn over after a kick - way to go Texans!  Way to go!  #Texans #terrible #noheart,fear,0.43799999999999994,Hei tidak ada giliran setelah tendangan - cara untuk pergi Texas! Jalan untuk pergi! #Texans #terrible #noheart
20685,"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood #dire",fear,0.43799999999999994,"Di kamar 101 saya akan pergi Russell Howard, Tom Odell, Michael Buble !!! #pants #nogood #dire"
20686,@SmileWhileYoDie @KiloSierraC @h0wabouthannah @Drops I'll be okay don't worry,fear,0.43799999999999994,@Hadits_hati @hari_hati_hati @hhhhhhhhhhhhhh jangan khawatir
20687,".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you #shocking",fear,0.43799999999999994,". @ SimonNRicketts jika Anda tidak tahu apa itu patronus, saya rasa kami tidak perlu memberi tahu Anda #shocking"
20688,"#Charlotte's #young &amp; #restless; I applaud ur fire bt always b respectful of authority, police, elders, parents. Violence, not the way 🙏🏽✌🏽️",fear,0.43799999999999994,"# Charlotte's #young & #restless; Saya memuji api Anda karena selalu menghormati otoritas, polisi, orang tua, orang tua. Kekerasan, bukan caranya 🙏🏽✌🏽️"
20689,"When a guy comes on the train that smells like a mixture of a damp dog, old sweat and sewage works!!!! #gross  #getoffthetrain #smelly",fear,0.43799999999999994,"Ketika seorang pria datang dengan kereta yang baunya seperti campuran anjing lembab, keringat lama dan kotoran bekerja !!!! # kotor #getoffthetrain # bau"
20690,"my school photo is honestly horrid, i look so ew😅",fear,0.43799999999999994,"foto sekolah saya benar-benar mengerikan, saya terlihat sangat ew😅"
20691,honestly all my friends do bnc i mean it and i am feeling #terrible hahaha,fear,0.43799999999999994,sejujurnya semua teman saya melakukan bnc saya serius dan saya merasa #terrible hahaha
20692,"@GucciShade @KellyannePolls @ABC So?  Who cares?  Who cares about tax forms, too.  I believe terrorism and jobs are what is important.",fear,0.43799999999999994,@Sukasukaa_sukabumi @sukabijak_jogja @sukabijak_jogja @jogja_surabaya Siapa peduli? Siapa yang peduli dengan formulir pajak juga. Saya percaya terorisme dan pekerjaan adalah yang terpenting.
20693,For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary ,fear,0.43799999999999994,"Selama 2 tahun terakhir, AS rata-rata melakukan 4 serangan teroris dalam sebulan. Topik debat yang bagus. #Trump #Hillary"
20694,not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years ,fear,0.43799999999999994,tidak hanya @EGX terburuk yang pernah saya hadiri tetapi juga termasuk salah satu kontra terburuk yang pernah saya kunjungi dalam 5 tahun terakhir
20695,@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson ,fear,0.43799999999999994,@BBCPolitics @BBCNews Saya lebih suka meninggalkan anak saya dengan @BorisJohnson
20696,Heard of panic! At the disco? How about Kach-ing! at the ATM,fear,0.43799999999999994,Mendengar kepanikan! Di disko? Bagaimana dengan Kach-ing! di ATM
20697,Can we start a 'get Chris Sutton off our tv campaign? Spread the work #terrible #pundit #noclue,fear,0.433,Bisakah kita memulai 'mengeluarkan Chris Sutton dari kampanye TV kita? Sebarkan karya #terrible #pundit #noclue
20698,"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, ",fear,0.431,"@NFYFC @Wilkster_ hmm, gak kenal banyak yf yang kurang percaya diri! Seandainya aku menjadi satu,"
20699,So is texting a guy 'I'm ready for sex now' considered flirting?' #shocking,fear,0.431,"Jadi, apakah mengirim pesan kepada seorang pria 'Saya siap untuk seks sekarang' dianggap menggoda? ' #shocking"
